"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TCTEX1D2",0.120789626471355,3.96966710104166,0.750923484641557,0.456000946083263,0.829088433694788,-5.7635657798964
"ZNF267",-0.138157997780062,5.01735943385508,-0.750778957863375,0.456087201684594,0.829088433694788,-5.95291467500477
"IK",-0.0549994218849119,7.75473890272003,-0.750630590881132,0.456175758988501,0.829088433694788,-6.2960557755277
"MNAT1",-0.0971850073963119,5.26980031693107,-0.750585929923568,0.456202418173751,0.829088433694788,-5.99105669880602
"TYMS",-0.292359587360304,0.0615436479279725,-0.750444310853431,0.456286959914698,0.829088433694788,-5.19104282445457
"PID1",0.286947261535828,-0.0368246965669709,0.750360183899328,0.456337185117556,0.829088433694788,-5.18501251026824
"MON1A",0.212141798122793,1.73047090625087,0.750341975148724,0.456348056467911,0.829088433694788,-5.37246056815301
"RAMP1",0.302374532492664,0.471210239630354,0.750218956387474,0.456421507497975,0.829088433694788,-5.22050784284031
"CRPPA",0.244113566994529,1.09127707433498,0.750082849457425,0.456502781067722,0.829088433694788,-5.28353903880913
"FAM161B",-0.217387036079143,1.28766911181939,-0.750040552347071,0.456528039656973,0.829088433694788,-5.30861570710683
"AC093512.1",0.266354669458255,-0.0949114273638263,0.749923314125501,0.456598055094609,0.829088433694788,-5.1793143682767
"OGFR",0.089441919723284,5.07723033324112,0.749833092176639,0.456651940462001,0.829088433694788,-5.96245335276512
"HNRNPLL",-0.132190733560559,4.29940425571132,-0.749804889433639,0.456668785400656,0.829088433694788,-5.82668919301568
"ZNF516",0.279169997196048,0.367599531690047,0.749795528419652,0.456674376627902,0.829088433694788,-5.2141799828957
"C1orf61",-0.14651470499556,2.70788118482689,-0.74975780588781,0.456696908268315,0.829088433694788,-5.52627381866195
"ZC4H2",-0.223751354614976,1.13843772097413,-0.749243542751035,0.457004141333915,0.829497719956398,-5.28698924684718
"ARRDC3-AS1",0.174964898513385,1.68342694027308,0.749189524724778,0.457036419919599,0.829497719956398,-5.36251469623821
"CSKMT",-0.105356438636304,4.7302265028802,-0.748916268265264,0.457199725074743,0.82956218210006,-5.90656715785581
"COPS7A",0.11728407800923,3.66574414536961,0.748856708834297,0.45723532380987,0.82956218210006,-5.70886409420245
